logit(P[Y=2|1<=Y<=2]) logit(P[Y=3|2<=Y<=3]) logit(P[Y=4|3<=Y<=4])
 2.1376274633 -2.2152849266 -3.6693308123
-0.8512248928 -0.8512248928 -0.8512248928
 0.2518752236  0.2518752236  0.2518752236
 0.0883601959  0.0883601959  0.0883601959
 0.2271426632  0.2271426632  0.2271426632
-0.1876053460 -0.1876053460 -0.1876053460
 0.1513022718  0.1513022718  0.1513022718
 0.1466543409  0.1466543409  0.1466543409
 0.0372015124  0.0372015124  0.0372015124
 0.1468063946  0.1468063946  0.1468063946
 0.1298267852  0.1298267852  0.1298267852
-0.3032980268 -0.3032980268 -0.3032980268
 0.1642196620  0.1642196620  0.1642196620
-0.0322634632 -0.0322634632 -0.0322634632
-0.6959065397 -0.6959065397 -0.6959065397
-0.2689238196 -0.2689238196 -0.2689238196
 0.1145628345  0.1145628345  0.1145628345
-0.1229785448 -0.1229785448 -0.1229785448
-0.1065909054 -0.1065909054 -0.1065909054
 0.1947126694  0.1947126694  0.1947126694
-0.2251011327 -0.2251011327 -0.2251011327
-0.2606908948 -0.2606908948 -0.2606908948
 0.0991513151  0.0991513151  0.0991513151
-0.2184202491 -0.2184202491 -0.2184202491
 0.4945699647  0.4945699647  0.4945699647
-0.2310008944 -0.2310008944 -0.2310008944
 0.1886146361  0.1886146361  0.1886146361
 0.0802015498  0.0802015498  0.0802015498
 0.0000000000  0.0000000000  0.0000000000
 0.1383553005  0.1383553005  0.1383553005
 0.2369513691  0.2369513691  0.2369513691
-0.0960269896 -0.0960269896 -0.0960269896
 0.0000000000  0.0000000000  0.0000000000
 0.1087356870  0.1087356870  0.1087356870
 0.3302449889  0.3302449889  0.3302449889
-0.0636878180 -0.0636878180 -0.0636878180
-0.1554750895 -0.1554750895 -0.1554750895
 0.0000000000  0.0000000000  0.0000000000
 0.1935902974  0.1935902974  0.1935902974
-0.4328176775 -0.4328176775 -0.4328176775
-0.2100249283 -0.2100249283 -0.2100249283
 0.0293477514  0.0293477514  0.0293477514
 0.1525385868  0.1525385868  0.1525385868
 0.1398687309  0.1398687309  0.1398687309
 0.1841888297  0.1841888297  0.1841888297
-0.0676834826 -0.0676834826 -0.0676834826
 0.1424535942  0.1424535942  0.1424535942
 0.0762936744  0.0762936744  0.0762936744
 0.2118213036  0.2118213036  0.2118213036
-0.0547420620 -0.0547420620 -0.0547420620
 0.2568069837  0.2568069837  0.2568069837
 0.1734695377  0.1734695377  0.1734695377
 0.0879207453  0.0879207453  0.0879207453
-0.1491938846 -0.1491938846 -0.1491938846
